,Security,Description,Category,Subcategory
,NSEBANK Index,NSE Nifty Bank Index,Index/Stats,Equity Index
,NSE500 Index,NSE Nifty 500 Index,Index/Stats,Equity Index
,NSEIT Index,NSE Nifty IT Index,Index/Stats,Equity Index
,NIFTY Index,NSE Nifty 50 Index,Index/Stats,Equity Index
,NSEMCAP Index,NIFTY Midcap 100,Index/Stats,Equity Index
,NSESMCP Index,NIFTY Smallcap 100,Index/Stats,Equity Index
,NSEMD150 Index,National Stock Exchange Nifty Midcap 150 Index,Index/Stats,Equity Index
,NSES250 Index,National Stock Exchange Nifty Smallcap 250 Index,Index/Stats,Equity Index
,NSEPHRM Index,NSE Nifty Pharma Index,Index/Stats,Equity Index
,NSE100 Index,NSE Nifty 100 Index,Index/Stats,Equity Index
,NSEMET Index,NSE Nifty Metal Index,Index/Stats,Equity Index
,NSE200 Index,NSE Nifty 200 Index,Index/Stats,Equity Index
,NSEAUTO Index,NSE Nifty Auto Index,Index/Stats,Equity Index
,NSEFMCG Index,NSE Nifty FMCG Index,Index/Stats,Equity Index
,NSEFIN Index,NSE Nifty Financial Services Index,Index/Stats,Equity Index
,NSEREAL Index,NSE Nifty Realty Index,Index/Stats,Equity Index
,NSENRG Index,NSE Nifty Energy Index,Index/Stats,Equity Index
,NSEPSBK Index,NSE Nifty PSU Bank Index,Index/Stats,Equity Index
,NSEPBANK Index,NSE Nifty Private Bank Index,Index/Stats,Equity Index
,NSELM250 Index,NIFTY Large Midcap 250 Index,Index/Stats,Equity Index
,NSEASI Index,Nairobi Securities Exchange Ltd All Share Index,Index/Stats,Equity Index
,NSEINFR Index,NSE Nifty Infrastructure Index,Index/Stats,Equity Index
,NSECON Index,NSE Nifty India Consumption Index,Index/Stats,Equity Index
,NSE500TR Index,Nifty 500 TR,Index/Stats,Equity Index
,NSEMED Index,NSE Nifty Media Index,Index/Stats,Equity Index
,NSEPSE Index,NSE Nifty PSE Index,Index/Stats,Equity Index
,NSE100TR Index,National Stock Exchange of India Nifty 100 Total Return Index,Index/Stats,Equity Index
,NSE150TR Index,National Stock Exchange Nifty Midcap 150 Index Total Return,Index/Stats,Equity Index
,NSECMD Index,NSE Nifty Commodities Index,Index/Stats,Equity Index
,NSEESG Index,NIFTY100 ESG,Index/Stats,Equity Index
,INVIXN Index,India NSE Volatility Index.,Index/Stats,Equity Index
,NSEMNC Index,NSE Nifty MNC Index,Index/Stats,Equity Index
,NSETMU Index,Nasdaq Sprott Energy Transition Materials Ex Uranium Index,Index/Stats,Equity Index
,NSEAP Index,NSE Nifty Alpha 50 Index,Index/Stats,Equity Index
,NSELMTR Index,NIFTY LargeMidcap 250 TR,Index/Stats,Equity Index
,NIFTYTR Index,NSE Nifty 50 Total Return Index,Index/Stats,Equity Index
,NSEDIV Index,NSE Nifty Dividend Opportunities 50 Index,Index/Stats,Equity Index
,NSEMCTR Index,NIFTY Midcap 100 TR,Index/Stats,Equity Index
,NIFTYJR Index,NSE Nifty Next 50 Index,Index/Stats,Equity Index
,NSE250TR Index,National Stock Exchange Nifty Smallcap 250 Index Total Return,Index/Stats,Equity Index
,NSEMSTR Index,NSE Nifty MidSmallcap 400 Index Total Return,Index/Stats,Equity Index
,NSE50EW Index,NIFTY50 Equal Weight,Index/Stats,Equity Index
,NSESM50 Index,Nifty Smallcap 50 Index,Index/Stats,Equity Index
,NSE50ARB Index,Nifty 50 Arbitrage,Index/Stats,Equity Index
,NSEHB Index,NSE Nifty High Beta 50 Index,Index/Stats,Equity Index
,NSELV30 Index,NIFTY100 Low Volatility 30 Index,Index/Stats,Equity Index
,NSEMDSM Index,NSE Nifty MidSmallcap 400 Index,Index/Stats,Equity Index
,NSEQTY30 Index,NIFTY100 Quality 30 Index,Index/Stats,Equity Index
,NSECONTR Index,NSE Nifty India Consumption Index TR,Index/Stats,Equity Index
,NSEMNCTR Index,NSE Nifty MNC Index TR,Index/Stats,Equity Index
,NSE200TR Index,National Stock Exchange of India Nifty 200 Total Return Index,Index/Stats,Equity Index
,NSEFINTR Index,NSE Nifty Financial Services Index TR,Index/Stats,Equity Index
,NSEL30TR Index,NIFTY100 Low Volatility 30 Index TR,Index/Stats,Equity Index
,NSELV Index,NSE Nifty Low Volatility 50 Index,Index/Stats,Equity Index
,NSESMCTR Index,NIFTY Smallcap 100 TR,Index/Stats,Equity Index
,NSESRV Index,NSE Nifty Services Sector Index,Index/Stats,Equity Index
,NSETM Index,Nasdaq Sprott Critical Materials Index,Index/Stats,Equity Index
,NIFTYM50 Index,NSE Nifty Midcap 50 Index,Index/Stats,Equity Index
,DEFTY Index,NSE Nifty50 USD Index,Index/Stats,Equity Index
,NIFTYS Index,NSE Nifty 50 SGX Spot Opt,Index/Stats,Equity Index
,NSE100ET Index,Nifty 100 Equal Weight Index Total Return,Index/Stats,Equity Index
,NSE100EW Index,Nifty 100 Equal Weight Index,Index/Stats,Equity Index
,NSE200Q Index,NIFTY200 Quality 30,Index/Stats,Equity Index
,NSE200QT Index,NIFTY200 Quality 30 TR,Index/Stats,Equity Index
,NSE50EWT Index,NIFTY50 Equal Weight TR,Index/Stats,Equity Index
,NSEASIVL Index,NSEASI Primary Vol,Index/Stats,Equity Index
,NSEAUTOT Index,Nifty Auto TR,Index/Stats,Equity Index
,NSEBANKT Index,Nifty Bank Total Return Index,Index/Stats,Equity Index
,NSECMDTR Index,NSE Nifty Commodities Index TR,Index/Stats,Equity Index
,NSEEVPR Index,Nifty EV & New Age Automotive Index PR,Index/Stats,Equity Index
,NSEEVTR Index,Nifty EV & New Age Automotive Index TR,Index/Stats,Equity Index
,NSEFMTR Index,NSE Nifty FMCG Index TR,Index/Stats,Equity Index
,NSEIL Index,Namibia Stock Exchange Local,Index/Stats,Equity Index
,NSEIPOPR Index,Nifty IPO PR,Index/Stats,Equity Index
,NSEIPOTR Index,Nifty IPO TR,Index/Stats,Equity Index
,NSEM50TR Index,Nifty Midcap 50 TR,Index/Stats,Equity Index
,NSEMEDTR Index,NSE Nifty Media Index TR,Index/Stats,Equity Index
,NSEMID15 Index,Nifty Midcap Liquid 15,Index/Stats,Equity Index
,NSENI15 Index,NSE Nifty Growth Sectors 15,Index/Stats,Equity Index
